LOCATION,short_rate(t),term_rate(t),short_rate(t+5y),term_rate(t+5y)
USA,5.530000,6.690000,1.910000,5.280000
USA,5.710000,6.890000,1.870000,5.210000
USA,5.700000,6.710000,1.820000,5.160000
USA,5.660000,6.490000,1.810000,4.930000
USA,5.600000,6.220000,1.790000,4.650000
USA,5.600000,6.300000,1.730000,4.260000
USA,5.600000,6.210000,1.760000,3.870000
USA,5.650000,6.030000,1.730000,3.940000
USA,5.740000,5.880000,1.390000,4.050000
USA,5.800000,5.810000,1.340000,4.030000
USA,5.540000,5.540000,1.290000,4.050000
USA,5.540000,5.570000,1.270000,3.900000
USA,5.580000,5.650000,1.230000,3.810000
USA,5.580000,5.640000,1.240000,3.960000
USA,5.590000,5.650000,1.220000,3.570000
USA,5.600000,5.500000,1.040000,3.330000
USA,5.590000,5.460000,1.050000,3.980000
USA,5.580000,5.340000,1.080000,4.450000
USA,5.410000,4.810000,1.080000,4.270000
USA,5.210000,4.530000,1.100000,4.290000
USA,5.240000,4.830000,1.110000,4.300000
USA,5.140000,4.650000,1.100000,4.270000
USA,4.890000,4.720000,1.060000,4.150000
USA,4.900000,5.000000,1.050000,4.080000
USA,4.910000,5.230000,1.050000,3.830000
USA,4.880000,5.180000,1.080000,4.350000
USA,4.920000,5.540000,1.200000,4.720000
USA,5.130000,5.900000,1.460000,4.730000
USA,5.240000,5.790000,1.570000,4.500000
USA,5.410000,5.940000,1.680000,4.280000
USA,5.500000,5.920000,1.860000,4.130000
USA,6.130000,6.110000,2.040000,4.100000
USA,6.000000,6.030000,2.260000,4.190000
USA,6.050000,6.280000,2.450000,4.230000
USA,5.950000,6.660000,2.610000,4.220000
USA,6.010000,6.520000,2.770000,4.170000
USA,6.140000,6.260000,2.970000,4.500000
USA,6.280000,5.990000,3.090000,4.340000
USA,6.710000,6.440000,3.220000,4.140000
USA,6.730000,6.100000,3.380000,4.000000
USA,6.670000,6.050000,3.570000,4.180000
USA,6.610000,5.830000,3.770000,4.260000
USA,6.600000,5.800000,3.870000,4.200000
USA,6.670000,5.740000,4.130000,4.460000
USA,6.650000,5.720000,4.310000,4.540000
USA,6.450000,5.240000,4.450000,4.470000
USA,5.620000,5.160000,4.560000,4.420000
USA,5.260000,5.100000,4.720000,4.570000
USA,4.890000,4.890000,4.880000,4.720000
USA,4.530000,5.140000,5.030000,4.990000
USA,4.020000,5.390000,5.150000,5.110000
USA,3.740000,5.280000,5.350000,5.110000
USA,3.660000,5.240000,5.460000,5.090000
USA,3.480000,4.970000,5.380000,4.880000
USA,2.870000,4.730000,5.340000,4.720000
USA,2.310000,4.570000,5.330000,4.730000
USA,2.030000,4.650000,5.320000,4.600000
USA,1.830000,5.090000,5.320000,4.560000
USA,1.740000,5.040000,5.320000,4.760000
USA,1.820000,4.910000,5.310000,4.720000
USA,1.910000,5.280000,5.300000,4.560000
USA,1.870000,5.210000,5.310000,4.690000
USA,1.820000,5.160000,5.310000,4.750000
USA,1.810000,4.930000,5.330000,5.100000
USA,1.790000,4.650000,5.320000,5.000000
USA,1.730000,4.260000,5.490000,4.670000
USA,1.760000,3.870000,5.460000,4.520000
USA,1.730000,3.940000,5.080000,4.530000
USA,1.390000,4.050000,4.970000,4.150000
USA,1.340000,4.030000,5.020000,4.100000
USA,1.290000,4.050000,3.840000,3.740000
USA,1.270000,3.900000,3.060000,3.740000
USA,1.230000,3.810000,2.790000,3.510000
USA,1.240000,3.960000,2.850000,3.680000
USA,1.220000,3.570000,2.660000,3.880000
USA,1.040000,3.330000,2.760000,4.100000
USA,1.050000,3.980000,2.790000,4.010000
USA,1.080000,4.450000,2.790000,3.890000
USA,1.080000,4.270000,3.590000,3.690000
USA,1.100000,4.290000,4.320000,3.810000
USA,1.110000,4.300000,2.360000,3.530000
USA,1.100000,4.270000,1.770000,2.420000
USA,1.060000,4.150000,1.020000,2.520000
USA,1.050000,4.080000,1.160000,2.870000
USA,1.050000,3.830000,1.070000,2.820000
USA,1.080000,4.350000,0.890000,2.930000
USA,1.200000,4.720000,0.570000,3.290000
USA,1.460000,4.730000,0.390000,3.720000
USA,1.570000,4.500000,0.350000,3.560000
USA,1.680000,4.280000,0.300000,3.590000
USA,1.860000,4.130000,0.250000,3.400000
USA,2.040000,4.100000,0.240000,3.390000
USA,2.260000,4.190000,0.210000,3.400000
USA,2.450000,4.230000,0.220000,3.590000
USA,2.610000,4.220000,0.200000,3.730000
USA,2.770000,4.170000,0.190000,3.690000
USA,2.970000,4.500000,0.230000,3.730000
USA,3.090000,4.340000,0.300000,3.850000
USA,3.220000,4.140000,0.450000,3.420000
USA,3.380000,4.000000,0.520000,3.200000
USA,3.570000,4.180000,0.410000,3.010000
USA,3.770000,4.260000,0.320000,2.700000
USA,3.870000,4.200000,0.280000,2.650000
USA,4.130000,4.460000,0.270000,2.540000
USA,4.310000,4.540000,0.270000,2.760000
USA,4.450000,4.470000,0.300000,3.290000
USA,4.560000,4.420000,0.290000,3.390000
USA,4.720000,4.570000,0.280000,3.580000
USA,4.880000,4.720000,0.280000,3.410000
USA,5.030000,4.990000,0.230000,3.460000
USA,5.150000,5.110000,0.210000,3.170000
USA,5.350000,5.110000,0.220000,3.000000
USA,5.460000,5.090000,0.240000,3.000000
USA,5.380000,4.880000,0.290000,2.300000
USA,5.340000,4.720000,0.330000,1.980000
USA,5.330000,4.730000,0.370000,2.150000
USA,5.320000,4.600000,0.410000,2.010000
USA,5.320000,4.560000,0.490000,1.980000
USA,5.320000,4.760000,0.400000,1.970000
USA,5.310000,4.720000,0.300000,1.970000
USA,5.300000,4.560000,0.290000,2.170000
USA,5.310000,4.690000,0.290000,2.050000
USA,5.310000,4.750000,0.290000,1.800000
USA,5.330000,5.100000,0.320000,1.620000
USA,5.320000,5.000000,0.300000,1.530000
USA,5.490000,4.670000,0.260000,1.680000
USA,5.460000,4.520000,0.240000,1.720000
USA,5.080000,4.530000,0.230000,1.750000
USA,4.970000,4.150000,0.230000,1.650000
USA,5.020000,4.100000,0.240000,1.720000
USA,3.840000,3.740000,0.230000,1.910000
USA,3.060000,3.740000,0.220000,1.980000
USA,2.790000,3.510000,0.210000,1.960000
USA,2.850000,3.680000,0.200000,1.760000
USA,2.660000,3.880000,0.200000,1.930000
USA,2.760000,4.100000,0.190000,2.300000
USA,2.790000,4.010000,0.140000,2.580000
USA,2.790000,3.890000,0.120000,2.740000
USA,3.590000,3.690000,0.110000,2.810000
USA,4.320000,3.810000,0.120000,2.620000
USA,2.360000,3.530000,0.120000,2.720000
