"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRL","LTINT","TOT","PC_PA","M","1988-08",9.347686,
"IRL","LTINT","TOT","PC_PA","M","1988-09",9.22576,
"IRL","LTINT","TOT","PC_PA","M","1988-10",8.727893,
"IRL","LTINT","TOT","PC_PA","M","1988-11",8.809177,
"IRL","LTINT","TOT","PC_PA","M","1988-12",8.65677,
"IRL","LTINT","TOT","PC_PA","M","1989-01",8.595806,
"IRL","LTINT","TOT","PC_PA","M","1989-02",9.144475,
"IRL","LTINT","TOT","PC_PA","M","1989-03",8.941264,
"IRL","LTINT","TOT","PC_PA","M","1989-04",9.286722,
"IRL","LTINT","TOT","PC_PA","M","1989-05",9.62202,
"IRL","LTINT","TOT","PC_PA","M","1989-06",9.398488,
"IRL","LTINT","TOT","PC_PA","M","1989-07",8.778696,
"IRL","LTINT","TOT","PC_PA","M","1989-08",9.347686,
"IRL","LTINT","TOT","PC_PA","M","1989-09",9.357846,
"IRL","LTINT","TOT","PC_PA","M","1989-10",9.743946,
"IRL","LTINT","TOT","PC_PA","M","1989-11",9.81507,
"IRL","LTINT","TOT","PC_PA","M","1989-12",9.774427,
"IRL","LTINT","TOT","PC_PA","M","1990-01",9.855712,
"IRL","LTINT","TOT","PC_PA","M","1990-02",10.60759,
"IRL","LTINT","TOT","PC_PA","M","1990-03",11.12578,
"IRL","LTINT","TOT","PC_PA","M","1990-04",10.55679,
"IRL","LTINT","TOT","PC_PA","M","1990-05",10.36374,
"IRL","LTINT","TOT","PC_PA","M","1990-06",10.19101,
"IRL","LTINT","TOT","PC_PA","M","1990-07",9.835391,
"IRL","LTINT","TOT","PC_PA","M","1990-08",10.46534,
"IRL","LTINT","TOT","PC_PA","M","1990-09",10.91241,
"IRL","LTINT","TOT","PC_PA","M","1990-10",10.63807,
"IRL","LTINT","TOT","PC_PA","M","1990-11",10.50599,
"IRL","LTINT","TOT","PC_PA","M","1990-12",10.21133,
"IRL","LTINT","TOT","PC_PA","M","1991-01",10.21133,
"IRL","LTINT","TOT","PC_PA","M","1991-02",9.743946,
"IRL","LTINT","TOT","PC_PA","M","1991-03",9.500093,
"IRL","LTINT","TOT","PC_PA","M","1991-04",9.489933,
"IRL","LTINT","TOT","PC_PA","M","1991-05",9.408648,
"IRL","LTINT","TOT","PC_PA","M","1991-06",9.337525,
"IRL","LTINT","TOT","PC_PA","M","1991-07",9.550896,
"IRL","LTINT","TOT","PC_PA","M","1991-08",9.500093,
"IRL","LTINT","TOT","PC_PA","M","1991-09",9.43913,
"IRL","LTINT","TOT","PC_PA","M","1991-10",9.368007,
"IRL","LTINT","TOT","PC_PA","M","1991-11",9.368007,
"IRL","LTINT","TOT","PC_PA","M","1991-12",9.378167,
"IRL","LTINT","TOT","PC_PA","M","1992-01",9.002228,
"IRL","LTINT","TOT","PC_PA","M","1992-02",8.910783,
"IRL","LTINT","TOT","PC_PA","M","1992-03",9.134315,
"IRL","LTINT","TOT","PC_PA","M","1992-04",9.093673,
"IRL","LTINT","TOT","PC_PA","M","1992-05",8.961585,
"IRL","LTINT","TOT","PC_PA","M","1992-06",9.134315,
"IRL","LTINT","TOT","PC_PA","M","1992-07",9.368007,
"IRL","LTINT","TOT","PC_PA","M","1992-08",9.378167,
"IRL","LTINT","TOT","PC_PA","M","1992-09",10.09956,
"IRL","LTINT","TOT","PC_PA","M","1992-10",9.693144,
"IRL","LTINT","TOT","PC_PA","M","1992-11",10.54663,
"IRL","LTINT","TOT","PC_PA","M","1992-12",10.27229,
"IRL","LTINT","TOT","PC_PA","M","1993-01",9.88,
"IRL","LTINT","TOT","PC_PA","M","1993-02",9.26,
"IRL","LTINT","TOT","PC_PA","M","1993-03",8.62,
"IRL","LTINT","TOT","PC_PA","M","1993-04",8.11,
"IRL","LTINT","TOT","PC_PA","M","1993-05",7.83,
"IRL","LTINT","TOT","PC_PA","M","1993-06",7.61,
"IRL","LTINT","TOT","PC_PA","M","1993-07",7.32,
"IRL","LTINT","TOT","PC_PA","M","1993-08",7.11,
"IRL","LTINT","TOT","PC_PA","M","1993-09",7.01,
"IRL","LTINT","TOT","PC_PA","M","1993-10",6.71,
"IRL","LTINT","TOT","PC_PA","M","1993-11",6.57,
"IRL","LTINT","TOT","PC_PA","M","1993-12",6.38,
"IRL","LTINT","TOT","PC_PA","M","1994-01",6.15,
"IRL","LTINT","TOT","PC_PA","M","1994-02",6.45,
"IRL","LTINT","TOT","PC_PA","M","1994-03",7.07,
"IRL","LTINT","TOT","PC_PA","M","1994-04",7.57,
"IRL","LTINT","TOT","PC_PA","M","1994-05",7.96,
"IRL","LTINT","TOT","PC_PA","M","1994-06",8.5,
"IRL","LTINT","TOT","PC_PA","M","1994-07",8.34,
"IRL","LTINT","TOT","PC_PA","M","1994-08",8.43,
"IRL","LTINT","TOT","PC_PA","M","1994-09",8.82,
"IRL","LTINT","TOT","PC_PA","M","1994-10",8.68,
"IRL","LTINT","TOT","PC_PA","M","1994-11",8.51,
"IRL","LTINT","TOT","PC_PA","M","1994-12",8.57,
"IRL","LTINT","TOT","PC_PA","M","1995-01",8.79,
