short_rate(t),short_rate(t+5y)
10.71968,2.38366
11.71785,0.573
4.95,7.335
5.2532,7.2488
5.685652,6.608261
6.176429,5.982143
6.766136,5.638696
7.219721,6.933301
7.701446,8.466515
8.295,7.54125
8.731705,11.534737
9.257137,9.161875
9.826,8.755
10.240345,8.747241
10.773122,9.889444
11.2885,10.478
11.696364,13.442727
12.148235,12.480588
12.730833,11.085833
13.16,12.271
13.804615,10.054615
14.241,12.236
14.745556,11.167778
15.218571,11.710714
15.76375,10.208125
16.246154,11.24
16.706667,15.758889
17.258182,12.415455
17.75625,14.15125
18.075,13.53
18.99,10.89
19.45,8.22
19.75,14.125
20.71,18
21.1,17.995
21.748571,16.502857
0.364286,1.419143
0.603333,0.683333
1.210667,0.299
1.768462,0.753077
2.206111,2.2425
2.655455,1.86
3.23,1.608333
3.808889,1.026667
4.172727,1.04
4.62,2.57
5.265789,2.101579
5.57,2.36
1.728571,0.54
2.1,1.7125
2.691875,1.715625
3.235,1.7
3.856364,1.712727
4.233919,3.35337
4.773946,2.61125
5.224667,4.488
5.767143,4.824286
6.275556,4.242222
6.703846,3.72
7.01,4.695
7.73,5.01
8.33,5.03
8.83,4.6275
9.6,4.44
10.22,4.286667
10.64,4.19
11.91,4.2
12.45,4.2
13.84,4.2
14.56,4.22
15.455,4.185
16.09,4.21
17.226667,4.15
18.29,4.16
18.86,4.4
-0.349231,-0.133077
0.2376,-0.04
0.836364,-0.524545
1.3165,-0.3415
1.830741,0.166667
2.174545,1.012727
2.757143,2.705
3.247143,2.169524
3.7848,2.498
4.187692,2.615577
4.705,3.855
5.3,4.295
5.79,4.17
6.22,3.975
6.9575,3.2
7.171429,3.421429
7.74875,3.63375
8.17,3.866
8.791818,6.926364
9.237333,9.158667
9.7325,7.715
10.35125,7.96125
10.626,6.636
11.25,5.735
11.699286,6.171429
12.268571,5.851429
12.744,8.872
13.233333,7.093333
13.685,6.33
14.375,6.425
14.78,8.5675
20.18,4.11
3.325,6.48875
3.798,7.652
4.32,8.006667
4.853333,5.6025
5.028,3.31
5.73,7.722
6.13,7.98
6.56,8.18
7.303333,6.036667
7.725294,5.114706
8.214,5.368
8.716667,6.636667
9.212,6.126
9.59,5.03
10.106,5.602
11.16,7.65
11.6,7.57
-0.057922,-0.464278
0.205032,-0.340791
0.76938,-0.02998
1.24608,-0.128887
1.640117,-0.10165
2.162652,1.883364
2.707482,2.540147
3.341569,3.136739
3.70533,2.635379
4.3195,1.949742
4.766322,2.825593
5.19945,5.424563
5.763217,4.854128
6.29165,6.772633
6.761369,8.209646
7.248017,9.746033
7.788443,9.871961
8.243754,10.005177
